,X,Y,Z,NX,NY,NZ,C
0,0.05,0.05,0.28,-0.552377904545,0.833582216957,0.0043975156328,0.0720112926436
1,-9.651499,9.732042,-0.0175,-0.22923096549,-0.0172338875893,-0.973219480682,0.000923724935408
2,-9.501475,9.702013,-0.0475,0.176368886861,-0.0293069218938,0.983887757865,0.000517412134583
3,-9.361521,9.682054,-0.0675,0.0337294280326,-0.0546960077742,-0.997933200379,0.00785942698875
4,-9.131479,9.732042,-0.0175,-0.0382170120601,0.171452023201,-0.984450945314,0.0117872226373
5,-9.051523,9.702013,-0.0475,0.053455214999,0.180781410932,-0.982069560393,0.00630549954132
6,-8.931467,9.742052,-0.0075,0.0765558444316,-0.126369814784,0.989024707778,0.00917913484399
7,-8.711497,9.682054,-0.0675,-0.0956011671213,0.103954512689,-0.989976704845,0.014768874511
8,-8.641489,9.732042,-0.0175,0.0174122352768,0.146126458555,-0.989112669099,0.0201780385644
9,-8.451487,9.732042,-0.0175,-0.0483730611532,0.170193106496,-0.984222715373,0.0198775652726
10,-8.351511,9.672045,-0.0775,0.135997050642,-0.14092617304,0.980634802548,0.0289021586859
11,-8.191477,9.662035,-0.0875,0.0766931098109,0.288790623554,0.954315536212,0.000947414900138
12,-7.961497,9.652025,-0.0975,0.0697078150699,0.158414676804,-0.984908935228,0.00517043946413
13,-7.911509,9.692003,-0.0575,0.162604816368,0.138449982153,-0.976929514415,0.00321406701975
14,-7.681467,9.722032,-0.0275,0.0139305276221,-0.0915642754574,-0.995701724343,0.0238386995372
15,-7.541514,9.672045,-0.0775,0.130687581047,0.100443246201,0.986322417089,0.0357507392699
16,-7.411509,9.682054,-0.0675,-0.0573196527548,0.110054941976,0.992271317309,0.037766685123
17,-7.251475,9.722032,-0.0275,0.0504334229272,-0.0150113654492,-0.99861460472,0.0313796281341
18,-7.111521,9.662035,-0.0875,0.133963704365,-0.013242225138,-0.9908977593,0.0416190438388
19,-6.931467,9.77202,0.0225,-0.19777192321,0.089902253242,0.976116720096,0.0540199099659
20,-6.791514,9.722032,-0.0275,-0.20180105283,0.206573380594,-0.957394262311,0.0029996014336
21,-6.651499,9.712023,-0.0375,0.301091147088,0.306212358061,0.903093634634,0.00879650393777
22,-6.521494,9.652025,-0.0975,-0.156821488432,-0.122161988338,-0.980042585489,0.0281529719081
23,-6.391489,9.682054,-0.0675,-0.0252294083573,-0.110455686062,-0.993560777391,0.0140660640383
24,-6.221506,9.662035,-0.0875,-0.0179936825809,-0.0271555150124,-0.999469261854,0.0020783116117
25,-6.031504,9.77202,0.0225,-0.155007670024,-0.315234349972,0.936269152985,0.00807463920153
26,-5.841501,9.752001,0.0025,-0.20385761827,0.198097156368,-0.958748970332,0.024075888466
27,-5.721506,9.652025,-0.0975,-0.0918640633336,0.0784390064742,-0.992677347445,0.0577541926258
28,-5.571482,9.702013,-0.0475,-0.054024845927,0.383382705321,0.922008143827,0.0289709091315
29,-5.451487,9.662035,-0.0875,-0.164083132675,0.095364334759,-0.981826038169,0.0125430847978
30,-5.271494,9.672045,-0.0775,0.141771511838,0.250175381687,-0.957764645844,0.00541461414897
31,-5.131479,9.742052,-0.0075,-0.194311742916,-0.21693734322,0.956650999938,0.00878052198265
32,-4.921519,9.752001,0.0025,0.0837921116719,-0.114027070259,0.989937729996,0.00721954552082
33,-4.861521,9.712023,-0.0375,0.293873895989,-0.163669979569,0.94172728061,0.0046491353645
